geneid	mean_length	median_length	polya_reads_num	count
PH02Gene40358	155.8	155.8	1	2
PH02Gene47225	87.56	73.83	17	26
PH02Gene05594	81.11	68.52	6	6
PH02Gene51008	105.83	115.14	11	12
PH02Gene22822	85.43	84.81	21	25
PH02Gene13446	86.85	75.88	72	109
PH02Gene21531	99.96	98.08	11	15
PH02Gene03042	87.29	93.03	13	15
PH02Gene45775	78.52	78.52	1	1
PH02Gene14972	129.21	116.83	11	17
PH02Gene45592	80.22	71.4	620	894
PH02Gene48598	89.13	88.47	41	53
PH02Gene39656	122.09	122.08	2	2
PH02Gene42542	89.35	83.57	49	71
PH02Gene45253	108.2	97.26	3	4
PH02Gene24780	50.77	47.08	6	8
PH02Gene35094	107.89	70.68	16	22
PH02Gene40165	161.63	171.19	7	8
PH02Gene21927	195.81	195.82	2	3
PH02Gene04886	90.46	81.5	43	65
PH02Gene39094	76.21	71.68	4	7
PH02Gene43513	167.5	170.57	4	4
PH02Gene30056	68.46	58.9	4	7
PH02Gene13896	97.6	97.6	1	1
PH02Gene48375	84.08	79.0	6	10
PH02Gene16311	107.38	87.12	8	10
PH02Gene36875	101.47	92.89	29	36
PH02Gene00197	39.77	39.77	1	2
PH02Gene10179	55.88	44.47	6	8
PH02Gene28584	99.78	96.66	34	50
PH02Gene18199	61.55	63.16	22	33
PH02Gene29495	81.72	75.47	11	19
PH02Gene20975	55.8	61.61	12	16
PH02Gene20185	190.07	190.08	2	3
PH02Gene32537	85.53	85.54	2	4
PH02Gene16498	47.72	47.72	1	1
PH02Gene11327	64.45	70.96	15	20
PH02Gene33114	122.07	105.48	5	7
PH02Gene36946	72.89	65.22	4	5
PH02Gene14758	101.09	106.64	22	31
PH02Gene43213	149.74	154.26	6	12
PH02Gene24589	135.6	135.6	1	2
PH02Gene10441	67.01	71.39	3	4
PH02Gene05920	108.71	116.75	15	21
PH02Gene29661	65.18	61.92	93	131
PH02Gene14754	73.4	73.88	30	51
PH02Gene28632	165.68	165.68	1	3
PH02Gene25843	179.46	170.17	3	5
PH02Gene48776	105.0	105.0	1	1
PH02Gene19284	119.03	99.88	10	12
PH02Gene02217	66.7	57.17	71	105
PH02Gene07606	235.58	235.58	2	3
PH02Gene11517	78.66	78.66	1	1
PH02Gene13502	128.85	128.85	1	1
PH02Gene17735	102.71	103.41	31	46
PH02Gene35808	118.44	118.44	2	3
PH02Gene33603	97.74	72.35	4	4
PH02Gene17238	118.78	111.38	3	3
PH02Gene46270	124.01	111.46	10	12
PH02Gene17246	104.07	104.07	2	2
PH02Gene35039	73.58	68.38	26	31
PH02Gene11134	67.36	73.44	14	30
PH02Gene37855	84.56	91.38	6	8
PH02Gene46953	256.81	256.81	1	1
PH02Gene43801	77.58	65.42	19	26
PH02Gene39103	127.0	127.46	18	35
PH02Gene12296	49.71	59.83	11	22
PH02Gene28273	116.83	96.02	54	84
PH02Gene11079	59.4	51.09	11	23
PH02Gene06040	62.76	70.37	5	8
PH02Gene24110	151.91	114.17	8	10
PH02Gene32292	97.82	97.2	31	43
PH02Gene09172	198.99	178.82	6	8
PH02Gene46338	81.3	80.77	118	186
PH02Gene45812	106.29	63.76	3	4
PH02Gene03000	82.22	76.38	42	59
PH02Gene20493	59.27	58.7	5	7
PH02Gene38721	67.41	65.3	230	324
PH02Gene14030	93.16	78.1	6	9
PH02Gene11493	51.95	56.32	7	9
PH02Gene09615	115.46	120.61	10	12
PH02Gene01089	72.73	71.56	45	61
PH02Gene18713	81.18	76.4	31	56
PH02Gene09292	77.73	73.19	8	10
PH02Gene36702	56.53	61.77	4	6
PH02Gene45338	69.88	60.56	7	11
PH02Gene15195	52.43	40.15	4	8
PH02Gene14086	234.08	235.94	4	4
PH02Gene33651	77.48	83.77	14	17
PH02Gene11603	96.94	91.13	10	13
PH02Gene31679	118.1	123.38	6	6
PH02Gene26039	82.02	66.27	11	14
PH02Gene19963	78.7	90.37	25	41
PH02Gene34119	78.16	56.28	15	21
PH02Gene06082	58.65	61.69	10	16
PH02Gene30294	84.0	84.0	2	2
PH02Gene10816	56.7	24.72	4	4
PH02Gene31763	69.12	69.12	1	1
PH02Gene19474	63.55	60.65	71	107
PH02Gene03147	49.74	49.74	2	5
PH02Gene35299	70.71	59.38	17	25
PH02Gene07699	163.67	163.67	1	2
PH02Gene45120	158.29	158.29	1	7
PH02Gene38248	71.8	55.04	3	6
PH02Gene12244	95.78	90.38	9	22
PH02Gene06189	86.41	59.69	3	5
PH02Gene45509	79.98	78.12	43	66
PH02Gene02562	67.83	66.46	432	612
PH02Gene48995	47.17	47.17	2	3
PH02Gene12007	77.47	73.94	14	18
PH02Gene35897	87.12	84.34	24	37
PH02Gene32126	145.75	159.43	17	24
PH02Gene49842	59.91	62.3	10	22
PH02Gene35826	117.52	134.31	12	15
PH02Gene32106	104.41	83.92	7	10
PH02Gene11039	74.4	68.44	18	24
PH02Gene18070	68.93	66.36	89	137
PH02Gene01054	70.12	81.53	10	14
PH02Gene15532	132.95	134.2	54	83
PH02Gene19117	95.24	103.71	4	6
PH02Gene21336	85.23	90.43	9	13
PH02Gene27489	40.23	32.88	3	4
PH02Gene31251	96.91	91.07	26	33
PH02Gene38744	122.3	122.36	10	18
PH02Gene12985	90.31	62.11	23	33
PH02Gene27378	112.57	99.7	43	61
PH02Gene22738	70.56	62.26	17	21
PH02Gene14806	106.13	114.73	5	11
PH02Gene16603	115.61	119.66	26	43
PH02Gene13127	116.97	105.19	19	27
PH02Gene44016	113.13	128.43	7	8
PH02Gene31685	100.01	92.0	22	31
PH02Gene15409	58.45	63.82	3	6
PH02Gene04532	94.94	97.77	63	90
PH02Gene18281	83.59	78.74	10	15
PH02Gene44312	121.88	121.88	1	2
PH02Gene11230	59.44	50.0	43	75
PH02Gene14164	56.53	56.53	2	6
PH02Gene44531	87.8	88.01	8	11
PH02Gene47858	75.33	71.54	112	150
PH02Gene15350	96.88	101.25	5	5
PH02Gene18510	72.49	60.28	63	91
PH02Gene15691	91.19	98.06	14	20
PH02Gene31847	151.42	159.99	16	28
PH02Gene25107	77.58	67.41	43	63
PH02Gene28468	48.67	52.07	3	8
PH02Gene14061	23.48	23.48	1	2
PH02Gene27834	75.88	72.0	19	30
PH02Gene28732	83.58	59.92	17	29
PH02Gene14050	91.94	105.08	21	25
PH02Gene09627	71.17	64.17	203	287
PH02Gene51039	63.78	63.94	32	37
PH02Gene07199	71.57	69.06	6	8
PH02Gene11614	135.86	167.21	13	20
PH02Gene12663	83.0	89.13	13	22
PH02Gene06176	117.88	125.3	5	8
PH02Gene00723	28.76	17.62	3	4
PH02Gene13464	65.96	55.0	39	56
PH02Gene06635	60.9	60.9	1	2
PH02Gene19655	140.67	140.67	1	1
PH02Gene07419	68.5	52.51	83	118
PH02Gene33602	69.24	83.1	18	29
PH02Gene06965	58.48	54.62	453	652
PH02Gene17349	112.46	112.46	1	2
PH02Gene18634	132.55	132.55	1	1
PH02Gene07474	99.11	94.64	50	84
PH02Gene40217	111.93	101.12	15	21
PH02Gene00733	185.01	215.18	6	10
PH02Gene18398	76.36	66.42	30	46
PH02Gene03180	59.62	57.11	489	721
PH02Gene16219	96.57	65.04	7	12
PH02Gene01489	123.85	123.85	1	1
PH02Gene22812	107.62	120.22	5	8
PH02Gene24544	152.1	157.97	6	6
PH02Gene12159	111.08	115.36	21	37
PH02Gene24114	90.39	75.14	4	5
PH02Gene41587	24.78	24.78	1	1
PH02Gene02420	56.16	56.16	1	1
PH02Gene20768	71.36	58.08	20	39
PH02Gene31016	103.83	74.94	36	56
PH02Gene48623	155.8	168.12	34	51
PH02Gene14459	48.15	40.47	10	21
PH02Gene10079	90.71	88.31	4	8
PH02Gene34949	186.7	186.7	1	3
PH02Gene42252	63.47	63.47	2	3
PH02Gene20505	154.51	149.29	7	13
PH02Gene16025	81.91	81.91	1	3
PH02Gene26990	68.01	65.15	157	230
PH02Gene15876	23.53	18.82	3	4
PH02Gene15446	54.33	54.33	1	1
PH02Gene42693	65.36	76.06	8	12
PH02Gene36754	171.5	171.5	1	5
PH02Gene42225	88.21	84.52	6	9
PH02Gene12823	83.54	82.42	8	12
PH02Gene24088	52.45	50.24	12	16
PH02Gene45386	75.22	65.53	15	27
PH02Gene02813	34.77	34.77	1	2
PH02Gene01705	94.03	97.71	4	4
PH02Gene15266	75.56	74.58	16	29
PH02Gene47951	66.73	53.93	3	4
PH02Gene00266	64.93	59.09	3	3
PH02Gene27386	101.11	98.87	16	21
PH02Gene08048	67.35	67.35	1	1
PH02Gene03044	64.73	59.18	24	31
PH02Gene06721	95.02	96.15	36	54
PH02Gene15267	184.67	198.0	5	6
PH02Gene10917	73.07	69.45	130	183
PH02Gene05466	38.41	25.27	10	16
PH02Gene00056	36.29	29.04	3	3
PH02Gene25434	89.75	91.65	12	16
PH02Gene34581	165.39	163.45	24	46
PH02Gene25238	73.69	74.73	4	5
PH02Gene42197	53.7	52.58	4	5
PH02Gene46049	82.95	65.37	12	17
PH02Gene48591	119.83	86.09	10	14
PH02Gene23541	123.36	119.3	16	19
PH02Gene25064	59.54	51.3	425	611
PH02Gene38695	113.52	86.12	25	37
PH02Gene08199	73.48	67.67	32	39
PH02Gene07067	128.64	142.35	6	10
PH02Gene08309	111.46	132.62	12	18
PH02Gene35680	125.92	151.52	5	5
PH02Gene30347	67.33	65.61	9	19
PH02Gene26876	140.44	153.43	41	63
PH02Gene11986	86.74	86.71	13	18
PH02Gene32590	136.63	136.63	2	3
PH02Gene27690	84.88	61.77	11	18
PH02Gene39879	111.2	111.2	1	1
PH02Gene06486	121.57	104.5	17	24
PH02Gene12970	60.95	50.35	205	292
PH02Gene00600	72.55	71.41	7	10
PH02Gene02580	89.43	91.42	161	266
PH02Gene09860	76.33	69.48	3	3
PH02Gene26462	58.25	58.25	1	2
PH02Gene20601	68.53	79.26	3	4
PH02Gene01608	154.0	150.37	20	32
PH02Gene02716	110.16	109.75	6	8
PH02Gene18118	71.86	62.47	271	382
PH02Gene19842	61.56	63.16	8	13
PH02Gene24012	78.72	70.28	10	12
PH02Gene21611	41.47	41.47	2	2
PH02Gene04270	97.08	89.34	100	147
PH02Gene00515	99.11	91.5	7	7
PH02Gene06625	96.5	96.5	1	2
PH02Gene15471	71.31	67.63	20	27
PH02Gene30949	75.82	60.45	5	7
PH02Gene27696	131.84	95.85	4	5
PH02Gene45087	94.08	90.24	4	8
PH02Gene09536	108.7	95.21	11	17
PH02Gene48321	79.75	79.75	2	3
PH02Gene34359	99.18	90.76	7	10
PH02Gene22049	106.29	114.62	5	5
PH02Gene01838	79.97	74.79	11	15
PH02Gene26499	64.54	40.43	7	8
PH02Gene35215	128.51	110.95	16	22
PH02Gene26223	66.15	55.0	7	9
PH02Gene33478	124.48	135.6	20	31
PH02Gene37376	49.15	49.15	1	2
PH02Gene23751	46.42	46.42	1	3
PH02Gene39047	113.59	112.46	10	13
PH02Gene05238	101.71	92.75	38	50
PH02Gene06958	57.85	53.08	8	9
PH02Gene42258	208.64	220.82	7	9
PH02Gene41005	63.55	58.77	217	322
PH02Gene20860	74.94	66.1	87	117
PH02Gene01704	80.67	73.5	425	673
PH02Gene18876	92.27	93.24	3	3
PH02Gene30958	125.01	118.81	9	16
PH02Gene00174	107.06	85.04	9	11
PH02Gene02367	106.05	68.94	4	4
PH02Gene31535	59.95	61.93	27	34
PH02Gene19989	82.74	91.0	3	5
PH02Gene06213	228.61	190.12	5	9
PH02Gene34417	101.37	108.64	4	10
PH02Gene25846	112.6	105.85	6	7
PH02Gene20959	52.48	51.48	11	21
PH02Gene02803	121.86	113.7	5	9
PH02Gene27036	85.33	85.33	1	1
PH02Gene43575	108.02	108.02	2	2
PH02Gene15637	101.1	101.1	1	1
PH02Gene04849	74.1	73.62	27	29
PH02Gene28681	108.44	107.36	21	32
PH02Gene27864	58.58	59.31	59	72
PH02Gene42808	114.13	124.94	8	16
PH02Gene17494	93.1	90.33	51	70
PH02Gene23644	81.5	83.27	5	7
PH02Gene15442	58.27	52.17	54	84
PH02Gene29030	59.4	61.03	5	13
PH02Gene08302	50.73	42.25	4	8
PH02Gene28879	93.27	93.27	2	2
PH02Gene01903	52.04	52.04	1	1
PH02Gene13097	69.88	69.88	1	1
PH02Gene15285	91.76	88.05	14	19
PH02Gene33055	78.91	65.23	8	9
PH02Gene17541	80.21	75.54	20	27
PH02Gene46616	60.28	60.28	2	2
PH02Gene40377	31.2	31.71	3	3
PH02Gene27582	82.25	68.37	11	18
PH02Gene15018	87.35	90.52	3	5
PH02Gene05634	53.2	37.04	27	37
PH02Gene41460	136.58	138.46	12	15
PH02Gene39596	68.11	67.92	9	14
PH02Gene08207	141.94	141.94	2	3
PH02Gene49285	94.03	94.12	10	15
PH02Gene24624	104.39	101.41	13	17
PH02Gene24126	84.96	76.35	27	36
PH02Gene04693	105.13	90.98	38	61
PH02Gene25180	54.04	47.06	5	8
