geneid	mean_length	median_length	polya_reads_num	count
PH02Gene33239	74.3	70.49	46	65
PH02Gene26430	92.4	92.4	1	1
PH02Gene10824	112.64	106.46	39	64
PH02Gene22253	83.24	75.82	514	707
PH02Gene19624	66.36	56.57	59	83
PH02Gene48433	123.9	129.62	18	26
PH02Gene31509	69.99	62.77	109	168
PH02Gene08303	103.87	104.33	6	8
PH02Gene38452	94.77	89.85	103	137
PH02Gene34050	184.78	184.78	2	2
PH02Gene33177	73.34	74.0	8	9
PH02Gene42117	71.43	60.33	9	12
PH02Gene40235	47.02	47.02	2	4
PH02Gene44622	90.5	76.24	22	34
PH02Gene07164	96.34	87.51	4	6
PH02Gene35547	168.71	175.28	19	30
PH02Gene09592	96.6	98.01	22	28
PH02Gene08864	133.45	130.96	26	34
PH02Gene31510	85.45	76.53	12	19
PH02Gene32531	98.99	84.71	45	69
PH02Gene13791	81.47	82.46	9	11
PH02Gene04690	74.64	69.88	12	17
PH02Gene14706	84.98	91.87	4	8
PH02Gene46246	110.23	123.0	9	10
PH02Gene47087	134.18	122.54	6	7
PH02Gene41057	118.02	105.0	6	7
PH02Gene05950	129.96	129.96	1	1
PH02Gene20540	109.13	112.1	11	14
PH02Gene32150	77.83	86.07	18	25
PH02Gene04207	111.59	101.23	4	6
PH02Gene42044	45.42	46.44	3	4
PH02Gene46775	120.95	116.44	19	29
PH02Gene21413	65.03	63.16	20	26
PH02Gene36024	78.56	81.96	3	8
PH02Gene50597	52.87	47.62	559	803
PH02Gene35675	162.15	178.28	6	6
PH02Gene31113	68.31	59.26	248	369
PH02Gene09401	132.1	133.33	4	4
PH02Gene40737	96.22	68.77	9	12
PH02Gene03137	70.63	67.68	185	256
PH02Gene08571	84.35	81.79	3	7
PH02Gene28264	258.66	258.66	2	4
PH02Gene26572	184.96	184.96	1	1
PH02Gene13150	119.31	101.32	16	21
PH02Gene28659	81.31	82.67	7	11
PH02Gene42303	163.46	174.8	13	16
PH02Gene40949	167.65	156.91	14	20
PH02Gene37733	111.21	122.97	14	17
PH02Gene04341	89.42	91.59	12	18
PH02Gene17042	205.49	195.21	5	7
